InvoiceMonth,Country,Revenue,Orders,ActiveCustomers,UnitsSold,AOV
2009-12-01,Australia,271.1,2,2,160,135.55
2010-02-01,Australia,1029.66,3,3,624,343.22
2010-03-01,Australia,429.39,2,2,191,214.695
2010-04-01,Australia,630.95,2,2,560,315.475
2010-05-01,Australia,2371.15,6,4,667,395.19166666666666
2010-06-01,Australia,3214.78,3,3,2280,1071.5933333333335
2010-07-01,Australia,686.12,3,2,224,228.70666666666668
2010-08-01,Australia,176.0,1,1,88,176.0
2010-09-01,Australia,785.83,2,2,293,392.915
2010-10-01,Australia,2989.15,9,8,1881,332.1277777777778
2010-11-01,Australia,18245.52,5,4,12900,3649.1040000000003
2010-12-01,Australia,1582.5,3,2,778,527.5
2011-01-01,Australia,9017.710000000001,9,7,5644,1001.9677777777779
2011-02-01,Australia,14695.42,5,4,8680,2939.084
2011-03-01,Australia,17223.99,3,3,10439,5741.330000000001
2011-04-01,Australia,771.6,2,2,225,385.8
2011-05-01,Australia,13638.41,4,2,8999,3409.6025
2011-06-01,Australia,25187.77,4,2,15981,6296.9425
2011-07-01,Australia,4964.38,7,3,5318,709.1971428571429
2011-08-01,Australia,22489.2,2,2,12570,11244.6
2011-09-01,Australia,5106.7300000000005,8,6,4079,638.3412500000001
2011-10-01,Australia,17150.53,4,2,7401,4287.6325
2011-11-01,Australia,7242.72,6,3,4098,1207.1200000000001
2009-12-01,Austria,1998.3400000000001,2,2,564,999.1700000000001
2010-02-01,Austria,1118.8600000000001,3,3,480,372.9533333333334
2010-03-01,Austria,925.13,5,4,401,185.026
2010-04-01,Austria,1388.54,1,1,798,1388.54
2010-05-01,Austria,622.04,1,1,655,622.04
2010-06-01,Austria,268.1,1,1,281,268.1
2010-08-01,Austria,1043.15,1,1,689,1043.15
2010-09-01,Austria,1940.17,5,3,1217,388.034
2010-10-01,Austria,1236.7,4,3,351,309.175
2010-11-01,Austria,2873.3,5,4,1261,574.6600000000001
2010-12-01,Austria,277.2,1,1,51,277.2
2011-02-01,Austria,518.36,2,2,342,259.18
2011-03-01,Austria,1708.12,2,2,982,854.06
2011-04-01,Austria,680.78,2,2,311,340.39
2011-05-01,Austria,1249.43,2,2,476,624.715
2011-07-01,Austria,1191.95,2,2,573,595.975
2011-08-01,Austria,1516.08,2,2,790,758.04
2011-10-01,Austria,1043.78,1,1,491,1043.78
